id,label,target,labels,profile
sequence_47740,0,158.0,24-6-6,0-24-6-6
sequence_47743,1,63.0,24-5-5,1-24-5-5
sequence_47807,0,42.0,2-10-10,0-2-10-10
sequence_47708,0,111.0,8-18-18,0-8-18-18
sequence_47751,0,34.0,9-6-6,0-9-6-6
sequence_47778,2,26.0,17-4-4,2-17-4-4
sequence_47724,0,48.0,8-18-18,0-8-18-18
sequence_47707,0,79.0,8-18-18,0-8-18-18
sequence_47710,1,43.0,25-24-24,1-25-24-24
sequence_47769,2,25.0,2-10-10,2-2-10-10
sequence_47792,2,12.0,1-7-7,2-1-7-7
sequence_47779,2,11.0,1-7-7,2-1-7-7
sequence_47705,0,71.0,0-25-25,0-0-25-25
sequence_47727,0,45.0,23-14-14,0-23-14-14
sequence_47679,1,44.0,14-3-3,1-14-3-3
sequence_47777,2,11.0,11-9-9,2-11-9-9
sequence_47752,2,67.0,24-5-5,2-24-5-5
sequence_47693,1,64.0,12-23-23,1-12-23-23
sequence_47717,0,66.0,27-15-15,0-27-15-15
sequence_47702,0,69.0,0-25-25,0-0-25-25
sequence_47770,0,25.0,2-10-10,0-2-10-10
sequence_47731,1,32.0,4-13-13,1-4-13-13
sequence_47735,2,55.0,21-22-22,2-21-22-22
sequence_47691,1,40.0,6-2-2,1-6-2-2
sequence_47674,2,38.0,6-0-0,2-6-0-0
sequence_47783,2,24.5,23-14-14,2-23-14-14
sequence_47700,1,65.0,14-3-3,1-14-3-3
sequence_47748,1,79.0,15-21-21,1-15-21-21
sequence_47698,1,56.0,6-2-2,1-6-2-2
sequence_47747,2,72.0,5-5-5,2-5-5-5
sequence_47734,2,110.0,13-27-27,2-13-27-27
sequence_47755,2,100.0,13-11-11,2-13-11-11
sequence_47758,1,22.0,4-13-13,1-4-13-13
sequence_47687,0,92.0,3-12-12,0-3-12-12
